"mgs" "delta" "fdr" "association" "spps" "direction" "name"
"hdl.lm.7" "MGS.igc0538" -0.770322580645161 0.000363823133640433 "hdl" "Clostridia sp." "Negative" "MGS.igc0538:Clostridia sp."
"hdl.lm.8" "MGS.igc0608" -0.716129032258065 0.015949595682065 "hdl" "Clostridiales sp." "Negative" "MGS.igc0608:Clostridiales sp."
"hdl.lm.9" "MGS.igc0652" -0.641290322580645 0.015949595682065 "hdl" "Clostridiales sp." "Negative" "MGS.igc0652:Clostridiales sp."
"hdl.lm.10" "MGS.igc0759" 0.687741935483871 0.00541253103666418 "hdl" "Clostridiales sp." "Positive" "MGS.igc0759:Clostridiales sp."
"hdl.lm.11" "MGS.igc0950" 0.259354838709677 0.0610269237573554 "hdl" "Clostridiales sp." "Positive" "MGS.igc0950:Clostridiales sp."
"hdi.lm.1" "MGS.igc0107" -0.492949843912591 0.0833192721567029 "hdi" "Clostridiales sp." "Negative" "MGS.igc0107:Clostridiales sp."
"hdi.lm.2" "MGS.igc0323" -0.672402913631634 0.00961768337990342 "hdi" "Bacteria sp." "Negative" "MGS.igc0323:Bacteria sp."
"hdi.lm.3" "MGS.igc1134" -0.500427055150884 0.0314348922249184 "hdi" "Clostridia sp." "Negative" "MGS.igc1134:Clostridia sp."
"hdi.lm.4" "MGS.igc1179" -0.308511966701353 0.0321471063278902 "hdi" "Bacteria sp." "Negative" "MGS.igc1179:Bacteria sp."
"ASAT.lm.1" "MGS.igc0055" -0.0245161290322581 0.0775941218583094 "ASAT" "Clostridiales sp." "Negative" "MGS.igc0055:Clostridiales sp."
"ASAT.lm.2" "MGS.igc0128" 0.752258064516129 0.0775941218583094 "ASAT" "Lachnospiraceae sp." "Positive" "MGS.igc0128:Lachnospiraceae sp."
"ASAT.lm.3" "MGS.igc0689" 0.0812903225806452 0.0273619769557815 "ASAT" "Clostridiales sp." "Positive" "MGS.igc0689:Clostridiales sp."
"ASAT.lm.4" "MGS.igc0806" 0.654193548387097 0.0775941218583094 "ASAT" "Lachnospiraceae sp." "Positive" "MGS.igc0806:Lachnospiraceae sp."
"ASAT.lm.5" "MGS.igc1265" 0.963870967741935 0.00347927122522578 "ASAT" "Collinsella aerofaciens" "Positive" "MGS.igc1265:Collinsella aerofaciens"
"ASAT.lm.6" "MGS.igc1340" -0.747096774193548 0.0775941218583094 "ASAT" "Oscillospiraceae sp." "Negative" "MGS.igc1340:Oscillospiraceae sp."
"Total.InsSecr.lm.1" "MGS.igc0074" -0.512258064516129 0.0584967916630106 "Total.InsSecr" "Blautia hydrogenotrophica" "Negative" "MGS.igc0074:Blautia hydrogenotrophica"
"Total.InsSecr.lm.2" "MGS.igc0256" -0.310967741935484 0.0853509409619848 "Total.InsSecr" "Clostridiales sp." "Negative" "MGS.igc0256:Clostridiales sp."
"Total.InsSecr.lm.3" "MGS.igc0275" 0.909677419354839 0.0853509409619848 "Total.InsSecr" "Gemmiger formicilis" "Positive" "MGS.igc0275:Gemmiger formicilis"
"Total.InsSecr.lm.4" "MGS.igc0294" 0.966451612903226 0.0981926906350298 "Total.InsSecr" "Dorea longicatena" "Positive" "MGS.igc0294:Dorea longicatena"
"Total.InsSecr.lm.5" "MGS.igc0474" -0.132903225806452 0.0853509409619848 "Total.InsSecr" "Clostridiales sp." "Negative" "MGS.igc0474:Clostridiales sp."
"Total.InsSecr.lm.6" "MGS.igc0678" 0.876129032258064 0.0853509409619848 "Total.InsSecr" "Clostridiales sp." "Positive" "MGS.igc0678:Clostridiales sp."
"Total.InsSecr.lm.7" "MGS.igc0679" -0.12 0.0981926906350298 "Total.InsSecr" "Bacteria sp." "Negative" "MGS.igc0679:Bacteria sp."
"Total.InsSecr.lm.8" "MGS.igc0735" -0.553548387096774 0.0584967916630106 "Total.InsSecr" "Bacteria sp." "Negative" "MGS.igc0735:Bacteria sp."
"Total.InsSecr.lm.9" "MGS.igc0806" 0.654193548387097 0.0892737409678066 "Total.InsSecr" "Lachnospiraceae sp." "Positive" "MGS.igc0806:Lachnospiraceae sp."
"Total.InsSecr.lm.10" "MGS.igc1180" 0.0503225806451613 0.0584967916630106 "Total.InsSecr" "Collinsella sp." "Positive" "MGS.igc1180:Collinsella sp."
"hscrp.lm.1" "MGS.igc0008" -0.463225806451613 0.00836707020477332 "hscrp" "Hungatella hathewayi" "Negative" "MGS.igc0008:Hungatella hathewayi"
"hscrp.lm.2" "MGS.igc0025" -0.0167741935483871 0.0668193332321911 "hscrp" "Eisenbergiella tayi" "Negative" "MGS.igc0025:Eisenbergiella tayi"
"hscrp.lm.3" "MGS.igc0056" -0.194838709677419 0.0355116998285383 "hscrp" "Firmicutes sp." "Negative" "MGS.igc0056:Firmicutes sp."
"hscrp.lm.4" "MGS.igc0095" 0.303225806451613 0.0698746126296614 "hscrp" "Bacteroides stercoris" "Positive" "MGS.igc0095:Bacteroides stercoris"
"hscrp.lm.5" "MGS.igc0376" -0.174193548387097 0.0187452477131216 "hscrp" "Phascolarctobacterium succinatutens" "Negative" "MGS.igc0376:Phascolarctobacterium succinatutens"
"hscrp.lm.6" "MGS.igc0432" -0.228387096774194 1.36150676722128e-05 "hscrp" "Alistipes sp. cv1" "Negative" "MGS.igc0432:Alistipes sp. cv1"
"hscrp.lm.7" "MGS.igc0513" -0.267096774193548 0.00836707020477332 "hscrp" "Clostridia sp." "Negative" "MGS.igc0513:Clostridia sp."
"hscrp.lm.8" "MGS.igc0596" 0.569032258064516 0.0986489138286267 "hscrp" "Ruminococcaceae sp." "Positive" "MGS.igc0596:Ruminococcaceae sp."
"hscrp.lm.9" "MGS.igc0671" -0.383225806451613 0.0858162973019472 "hscrp" "Unknown sp." "Negative" "MGS.igc0671:Unknown sp."
"hscrp.lm.10" "MGS.igc0732" -0.316129032258064 0.00836707020477332 "hscrp" "Bacteria sp." "Negative" "MGS.igc0732:Bacteria sp."
"hscrp.lm.11" "MGS.igc0771" -0.0735483870967742 0.0169874261908056 "hscrp" "Clostridiales sp." "Negative" "MGS.igc0771:Clostridiales sp."
"hscrp.lm.12" "MGS.igc0824" -0.685161290322581 0.0154203145968716 "hscrp" "Parvimonas micra" "Negative" "MGS.igc0824:Parvimonas micra"
"hscrp.lm.13" "MGS.igc0842" -0.793548387096774 0.0609024281838331 "hscrp" "Prevotella stercorea" "Negative" "MGS.igc0842:Prevotella stercorea"
"hscrp.lm.14" "MGS.igc1124" -0.783225806451613 0.000420061281893525 "hscrp" "Ruminococcaceae sp." "Negative" "MGS.igc1124:Ruminococcaceae sp."
"hscrp.lm.15" "MGS.igc1182" -0.705806451612903 0.00122636583457715 "hscrp" "Bifidobacterium longum" "Negative" "MGS.igc1182:Bifidobacterium longum"
"hscrp.lm.16" "MGS.igc1303" -0.654193548387097 0.00836707020477332 "hscrp" "Catenibacterium mitsuokai" "Negative" "MGS.igc1303:Catenibacterium mitsuokai"
"hscrp.lm.17" "MGS.igc1385" -0.633548387096774 0.0355116998285383 "hscrp" "Eisenbergiella tayi" "Negative" "MGS.igc1385:Eisenbergiella tayi"
"waist.lm.1" "MGS.igc0009" -0.563870967741935 0.0708803555973475 "waist" "Haemophilus sp." "Negative" "MGS.igc0009:Haemophilus sp."
"waist.lm.2" "MGS.igc0055" -0.0245161290322581 0.0439447627526381 "waist" "Clostridiales sp." "Negative" "MGS.igc0055:Clostridiales sp."
"waist.lm.3" "MGS.igc0542" 0.504516129032258 0.044329264325913 "waist" "Clostridiales sp." "Positive" "MGS.igc0542:Clostridiales sp."
"waist.lm.4" "MGS.igc0560" -0.212903225806452 0.0675189506998172 "waist" "Bacteria sp." "Negative" "MGS.igc0560:Bacteria sp."
"waist.lm.5" "MGS.igc0596" 0.569032258064516 0.0675189506998172 "waist" "Ruminococcaceae sp." "Positive" "MGS.igc0596:Ruminococcaceae sp."
"waist.lm.6" "MGS.igc0679" -0.12 0.0439447627526381 "waist" "Bacteria sp." "Negative" "MGS.igc0679:Bacteria sp."
"waist.lm.7" "MGS.igc0705" -0.326451612903226 0.0675189506998172 "waist" "Clostridiales sp." "Negative" "MGS.igc0705:Clostridiales sp."
"waist.lm.8" "MGS.igc0721" 0.212903225806452 0.0978607333206293 "waist" "Clostridia sp." "Positive" "MGS.igc0721:Clostridia sp."
"waist.lm.9" "MGS.igc1023" 0.530322580645161 0.068479336178037 "waist" "Clostridiales sp." "Positive" "MGS.igc1023:Clostridiales sp."
"waist.lm.10" "MGS.igc1043" -0.406451612903226 0.0708803555973475 "waist" "Coprococcus eutactus" "Negative" "MGS.igc1043:Coprococcus eutactus"
"waist.lm.11" "MGS.igc1084" -0.496774193548387 0.0675189506998172 "waist" "Unknown sp." "Negative" "MGS.igc1084:Unknown sp."
"waist.lm.12" "MGS.igc1193" 0.380645161290323 0.048384649702108 "waist" "Clostridiales sp." "Positive" "MGS.igc1193:Clostridiales sp."
"waist.lm.13" "MGS.igc1265" 0.963870967741935 0.0675189506998172 "waist" "Collinsella aerofaciens" "Positive" "MGS.igc1265:Collinsella aerofaciens"
"waist.lm.14" "MGS.igc1340" -0.747096774193548 0.0439447627526381 "waist" "Oscillospiraceae sp." "Negative" "MGS.igc1340:Oscillospiraceae sp."
"waist.lm.15" "MGS.igc1342" 0.292903225806452 0.044329264325913 "waist" "Clostridiales sp." "Positive" "MGS.igc1342:Clostridiales sp."
"OGIS.2h.lm.1" "MGS.igc0294" 0.966451612903226 0.0801338351549922 "OGIS.2h" "Dorea longicatena" "Positive" "MGS.igc0294:Dorea longicatena"
"OGIS.2h.lm.2" "MGS.igc0735" -0.553548387096774 0.0801338351549922 "OGIS.2h" "Bacteria sp." "Negative" "MGS.igc0735:Bacteria sp."
"totalGLP1.0.lm.1" "MGS.igc0474" -0.132903225806452 0.0809372449571069 "totalGLP1.0" "Clostridiales sp." "Negative" "MGS.igc0474:Clostridiales sp."
"totalGLP1.0.lm.2" "MGS.igc0896" -0.76 0.0184767148385532 "totalGLP1.0" "Bacteria sp." "Negative" "MGS.igc0896:Bacteria sp."
"totalGLP1.0.lm.3" "MGS.igc1155" 0.308387096774194 0.0675455093313827 "totalGLP1.0" "Actinomyces sp. oral taxon 175" "Positive" "MGS.igc1155:Actinomyces sp. oral taxon 175"
"totalGLP1.0.lm.4" "MGS.igc1192" -0.669677419354839 0.0049768786544715 "totalGLP1.0" "Bacteria sp." "Negative" "MGS.igc1192:Bacteria sp."
"totalGLP1.0.lm.5" "MGS.igc1423" 0.0296774193548387 0.0184767148385532 "totalGLP1.0" "Lachnospiraceae sp." "Positive" "MGS.igc1423:Lachnospiraceae sp."
"tg.lm.1" "MGS.igc0074" -0.512258064516129 0.0664374072684494 "tg" "Blautia hydrogenotrophica" "Negative" "MGS.igc0074:Blautia hydrogenotrophica"
"tg.lm.2" "MGS.igc0128" 0.752258064516129 0.0977284567290234 "tg" "Lachnospiraceae sp." "Positive" "MGS.igc0128:Lachnospiraceae sp."
"tg.lm.3" "MGS.igc0154" 0.873548387096774 0.0548862991012813 "tg" "Clostridiales sp." "Positive" "MGS.igc0154:Clostridiales sp."
"tg.lm.4" "MGS.igc0156" 0.987096774193548 0.0511525807151868 "tg" "[Eubacterium] hallii" "Positive" "MGS.igc0156:[Eubacterium] hallii"
"tg.lm.5" "MGS.igc0228" 0.971612903225806 0.0977284567290234 "tg" "Blautia massiliensis" "Positive" "MGS.igc0228:Blautia massiliensis"
"tg.lm.6" "MGS.igc0242" 0.705806451612903 0.0664374072684494 "tg" "[Ruminococcus] torques" "Positive" "MGS.igc0242:[Ruminococcus] torques"
"tg.lm.7" "MGS.igc0244" 0.950967741935484 0.0977284567290234 "tg" "Clostridia sp." "Positive" "MGS.igc0244:Clostridia sp."
"tg.lm.8" "MGS.igc0282" 0.956129032258065 0.0548862991012813 "tg" "Coprococcus comes" "Positive" "MGS.igc0282:Coprococcus comes"
"tg.lm.9" "MGS.igc0294" 0.966451612903226 0.0778301201261122 "tg" "Dorea longicatena" "Positive" "MGS.igc0294:Dorea longicatena"
"tg.lm.10" "MGS.igc0456" 0.285161290322581 0.0683543736771647 "tg" "Clostridia sp." "Positive" "MGS.igc0456:Clostridia sp."
"tg.lm.11" "MGS.igc0468" 0.992258064516129 0.0548862991012813 "tg" "Fusicatenibacter saccharivorans" "Positive" "MGS.igc0468:Fusicatenibacter saccharivorans"
"tg.lm.12" "MGS.igc0473" -0.692903225806452 0.0977284567290234 "tg" "Clostridium paraputrificum" "Negative" "MGS.igc0473:Clostridium paraputrificum"
"tg.lm.13" "MGS.igc0481" 0.963870967741935 0.0790982033358556 "tg" "Clostridiales bacterium KLE1615" "Positive" "MGS.igc0481:Clostridiales bacterium KLE1615"
"tg.lm.14" "MGS.igc0561" 0.925161290322581 0.0977284567290234 "tg" "Ruminococcus bromii" "Positive" "MGS.igc0561:Ruminococcus bromii"
"tg.lm.15" "MGS.igc0678" 0.876129032258064 0.0328679504948963 "tg" "Clostridiales sp." "Positive" "MGS.igc0678:Clostridiales sp."
"tg.lm.16" "MGS.igc0687" 0.987096774193548 0.0548862991012813 "tg" "[Eubacterium] rectale" "Positive" "MGS.igc0687:[Eubacterium] rectale"
"tg.lm.17" "MGS.igc0736" 0.76 0.0664374072684494 "tg" "Eubacterium ramulus" "Positive" "MGS.igc0736:Eubacterium ramulus"
"tg.lm.18" "MGS.igc0762" 0.945806451612903 0.0664374072684494 "tg" "Dorea formicigenerans" "Positive" "MGS.igc0762:Dorea formicigenerans"
"tg.lm.19" "MGS.igc0806" 0.654193548387097 0.0548862991012813 "tg" "Lachnospiraceae sp." "Positive" "MGS.igc0806:Lachnospiraceae sp."
"tg.lm.20" "MGS.igc0987" 0.889032258064516 0.0548862991012813 "tg" "bacterium LF-3" "Positive" "MGS.igc0987:bacterium LF-3"
"tg.lm.21" "MGS.igc0995" -0.716129032258065 0.0664374072684494 "tg" "Oscillospiraceae sp." "Negative" "MGS.igc0995:Oscillospiraceae sp."
"tg.lm.22" "MGS.igc1265" 0.963870967741935 0.0548862991012813 "tg" "Collinsella aerofaciens" "Positive" "MGS.igc1265:Collinsella aerofaciens"
"tg.lm.23" "MGS.igc1468" -0.60258064516129 0.00195180298925482 "tg" "Clostridiales sp." "Negative" "MGS.igc1468:Clostridiales sp."
"tg.lm.24" "MGS.igc1469" -0.780645161290323 0.0965633194848645 "tg" "Clostridiales sp." "Negative" "MGS.igc1469:Clostridiales sp."
"smoking.lm.1" "MGS.igc0074" 0.05500173370319 0.0878611835222388 "smoking" "Blautia hydrogenotrophica" "Positive" "MGS.igc0074:Blautia hydrogenotrophica"
"smoking.lm.2" "MGS.igc0388" 0.151467868700878 0.0169600527789754 "smoking" "Clostridium phoceensis" "Positive" "MGS.igc0388:Clostridium phoceensis"
"smoking.lm.3" "MGS.igc0389" 0.196370781322238 0.023867893802792 "smoking" "Clostridia sp." "Positive" "MGS.igc0389:Clostridia sp."
"smoking.lm.4" "MGS.igc0417" 0.0414499537679149 0.0304150041414859 "smoking" "Prevotella sp. P4-67" "Positive" "MGS.igc0417:Prevotella sp. P4-67"
"smoking.lm.5" "MGS.igc0445" 0.116042533518262 0.00424626704275015 "smoking" "Ruminococcus lactaris" "Positive" "MGS.igc0445:Ruminococcus lactaris"
"smoking.lm.6" "MGS.igc0789" 0.0963072122052705 0.0262728960491593 "smoking" "Prevotella sp." "Positive" "MGS.igc0789:Prevotella sp."
"smoking.lm.7" "MGS.igc1176" 0.0638147249190938 0.0334640976740869 "smoking" "Clostridiales sp." "Positive" "MGS.igc1176:Clostridiales sp."
"smoking.lm.8" "MGS.igc1182" 0.0478213129912159 0.023867893802792 "smoking" "Bifidobacterium longum" "Positive" "MGS.igc1182:Bifidobacterium longum"
"smoking.lm.9" "MGS.igc1330" 0.115146786870088 0.0169600527789754 "smoking" "Adlercreutzia equolifaciens" "Positive" "MGS.igc1330:Adlercreutzia equolifaciens"
"smoking.lm.10" "MGS.igc1493" 0.0387193712436431 0.0878611835222388 "smoking" "Lachnospiraceae sp." "Positive" "MGS.igc1493:Lachnospiraceae sp."
"IAAT.lm.1" "MGS.igc0055" -0.0245161290322581 0.0152403744641286 "IAAT" "Clostridiales sp." "Negative" "MGS.igc0055:Clostridiales sp."
"IAAT.lm.2" "MGS.igc0107" -0.545806451612903 0.0569836360745671 "IAAT" "Clostridiales sp." "Negative" "MGS.igc0107:Clostridiales sp."
"IAAT.lm.3" "MGS.igc0172" 0.0812903225806452 0.0147923120982836 "IAAT" "Intestinimonas butyriciproducens" "Positive" "MGS.igc0172:Intestinimonas butyriciproducens"
"IAAT.lm.4" "MGS.igc0204" 0.824516129032258 0.0569836360745671 "IAAT" "Oscillibacter sp. KLE 1745" "Positive" "MGS.igc0204:Oscillibacter sp. KLE 1745"
"IAAT.lm.5" "MGS.igc0228" 0.971612903225806 0.0428142800151709 "IAAT" "Blautia massiliensis" "Positive" "MGS.igc0228:Blautia massiliensis"
"IAAT.lm.6" "MGS.igc0242" 0.705806451612903 0.00548310475232993 "IAAT" "[Ruminococcus] torques" "Positive" "MGS.igc0242:[Ruminococcus] torques"
"IAAT.lm.7" "MGS.igc0332" -0.76258064516129 0.0665533995216369 "IAAT" "Clostridia sp." "Negative" "MGS.igc0332:Clostridia sp."
"IAAT.lm.8" "MGS.igc0542" 0.504516129032258 0.0369259227146345 "IAAT" "Clostridiales sp." "Positive" "MGS.igc0542:Clostridiales sp."
"IAAT.lm.9" "MGS.igc0560" -0.212903225806452 0.0299573184918941 "IAAT" "Bacteria sp." "Negative" "MGS.igc0560:Bacteria sp."
"IAAT.lm.10" "MGS.igc0592" -0.581935483870968 0.0384965184288206 "IAAT" "Clostridiales sp." "Negative" "MGS.igc0592:Clostridiales sp."
"IAAT.lm.11" "MGS.igc0624" 0.339354838709677 0.0233157594037887 "IAAT" "Clostridiales sp." "Positive" "MGS.igc0624:Clostridiales sp."
"IAAT.lm.12" "MGS.igc0658" -0.35741935483871 0.0152403744641286 "IAAT" "Clostridia sp." "Negative" "MGS.igc0658:Clostridia sp."
"IAAT.lm.13" "MGS.igc0660" 0.36 0.0248079436024631 "IAAT" "Clostridiales sp." "Positive" "MGS.igc0660:Clostridiales sp."
"IAAT.lm.14" "MGS.igc0679" -0.12 0.00548310475232993 "IAAT" "Bacteria sp." "Negative" "MGS.igc0679:Bacteria sp."
"IAAT.lm.15" "MGS.igc0696" -0.367741935483871 0.0304733367343462 "IAAT" "Clostridia sp." "Negative" "MGS.igc0696:Clostridia sp."
"IAAT.lm.16" "MGS.igc0705" -0.326451612903226 0.0384965184288206 "IAAT" "Clostridiales sp." "Negative" "MGS.igc0705:Clostridiales sp."
"IAAT.lm.17" "MGS.igc0706" -0.726451612903226 0.0428142800151709 "IAAT" "Clostridia sp." "Negative" "MGS.igc0706:Clostridia sp."
"IAAT.lm.18" "MGS.igc0735" -0.553548387096774 0.0191215203684995 "IAAT" "Bacteria sp." "Negative" "MGS.igc0735:Bacteria sp."
"IAAT.lm.19" "MGS.igc0778" 0.0425806451612903 0.0931365185544463 "IAAT" "Firmicutes sp." "Positive" "MGS.igc0778:Firmicutes sp."
"IAAT.lm.20" "MGS.igc0814" -0.0993548387096774 0.0931365185544463 "IAAT" "Clostridiales sp." "Negative" "MGS.igc0814:Clostridiales sp."
"IAAT.lm.21" "MGS.igc0877" -0.775483870967742 0.0467793078488136 "IAAT" "Firmicutes sp." "Negative" "MGS.igc0877:Firmicutes sp."
"IAAT.lm.22" "MGS.igc1010" -0.563870967741935 0.0931365185544463 "IAAT" "Veillonellales sp." "Negative" "MGS.igc1010:Veillonellales sp."
"IAAT.lm.23" "MGS.igc1023" 0.530322580645161 0.0467793078488136 "IAAT" "Clostridiales sp." "Positive" "MGS.igc1023:Clostridiales sp."
"IAAT.lm.24" "MGS.igc1052" -0.669677419354839 0.0304733367343462 "IAAT" "Firmicutes sp." "Negative" "MGS.igc1052:Firmicutes sp."
"IAAT.lm.25" "MGS.igc1179" -0.354838709677419 0.0105105808072344 "IAAT" "Bacteria sp." "Negative" "MGS.igc1179:Bacteria sp."
"IAAT.lm.26" "MGS.igc1193" 0.380645161290323 0.0938269404261866 "IAAT" "Clostridiales sp." "Positive" "MGS.igc1193:Clostridiales sp."
"IAAT.lm.27" "MGS.igc1217" -0.52258064516129 0.0610542086379463 "IAAT" "Clostridia sp." "Negative" "MGS.igc1217:Clostridia sp."
"IAAT.lm.28" "MGS.igc1270" -0.710967741935484 0.0191215203684995 "IAAT" "Unknown sp." "Negative" "MGS.igc1270:Unknown sp."
"IAAT.lm.29" "MGS.igc1317" -0.628387096774194 0.0750301314950912 "IAAT" "Firmicutes sp." "Negative" "MGS.igc1317:Firmicutes sp."
"IAAT.lm.30" "MGS.igc1358" 0.171612903225806 0.0610542086379463 "IAAT" "Clostridia sp." "Positive" "MGS.igc1358:Clostridia sp."
"IAAT.lm.31" "MGS.igc1469" -0.780645161290323 0.00807355264631467 "IAAT" "Clostridiales sp." "Negative" "MGS.igc1469:Clostridiales sp."
"Basal.InsSecr.lm.1" "MGS.igc0074" -0.512258064516129 0.0369884126301845 "Basal.InsSecr" "Blautia hydrogenotrophica" "Negative" "MGS.igc0074:Blautia hydrogenotrophica"
"Basal.InsSecr.lm.2" "MGS.igc0154" 0.873548387096774 0.0362084969535743 "Basal.InsSecr" "Clostridiales sp." "Positive" "MGS.igc0154:Clostridiales sp."
"Basal.InsSecr.lm.3" "MGS.igc0256" -0.310967741935484 0.0950154706174729 "Basal.InsSecr" "Clostridiales sp." "Negative" "MGS.igc0256:Clostridiales sp."
"Basal.InsSecr.lm.4" "MGS.igc0273" -0.785806451612903 0.0149255112917542 "Basal.InsSecr" "Clostridiales sp." "Negative" "MGS.igc0273:Clostridiales sp."
"Basal.InsSecr.lm.5" "MGS.igc0589" -0.605161290322581 0.0502828120469227 "Basal.InsSecr" "Clostridiales sp." "Negative" "MGS.igc0589:Clostridiales sp."
"Basal.InsSecr.lm.6" "MGS.igc1469" -0.780645161290323 0.0950154706174729 "Basal.InsSecr" "Clostridiales sp." "Negative" "MGS.igc1469:Clostridiales sp."
"chol.lm.1" "MGS.igc0995" -0.716129032258065 0.0306764969979994 "chol" "Oscillospiraceae sp." "Negative" "MGS.igc0995:Oscillospiraceae sp."
"chol.lm.2" "MGS.igc1340" -0.747096774193548 0.0129300534085544 "chol" "Oscillospiraceae sp." "Negative" "MGS.igc1340:Oscillospiraceae sp."
"Matsuda.lm.1" "MGS.igc0108" -0.75741935483871 0.013209243762413 "Matsuda" "Firmicutes sp." "Negative" "MGS.igc0108:Firmicutes sp."
"Matsuda.lm.2" "MGS.igc0109" -0.594838709677419 0.0444914951212843 "Matsuda" "Victivallales sp." "Negative" "MGS.igc0109:Victivallales sp."
"Matsuda.lm.3" "MGS.igc0123" 0.667096774193548 0.022307045109268 "Matsuda" "Bacteria sp." "Positive" "MGS.igc0123:Bacteria sp."
"Matsuda.lm.4" "MGS.igc0125" -0.251612903225806 0.0171625505080759 "Matsuda" "Firmicutes sp." "Negative" "MGS.igc0125:Firmicutes sp."
"Matsuda.lm.5" "MGS.igc0163" -0.778064516129032 0.022307045109268 "Matsuda" "Clostridiales sp." "Negative" "MGS.igc0163:Clostridiales sp."
"Matsuda.lm.6" "MGS.igc0359" 0.0632258064516129 0.059983306391424 "Matsuda" "Faecalibacterium prausnitzii" "Positive" "MGS.igc0359:Faecalibacterium prausnitzii"
"Matsuda.lm.7" "MGS.igc0498" -0.767741935483871 0.0364182725989107 "Matsuda" "Bacteria sp." "Negative" "MGS.igc0498:Bacteria sp."
"Matsuda.lm.8" "MGS.igc0542" 0.504516129032258 0.029994037939101 "Matsuda" "Clostridiales sp." "Positive" "MGS.igc0542:Clostridiales sp."
"Matsuda.lm.9" "MGS.igc0560" -0.212903225806452 0.0400121642978378 "Matsuda" "Bacteria sp." "Negative" "MGS.igc0560:Bacteria sp."
"Matsuda.lm.10" "MGS.igc0619" -0.169032258064516 0.0645448796983684 "Matsuda" "Intestinimonas massiliensis" "Negative" "MGS.igc0619:Intestinimonas massiliensis"
"Matsuda.lm.11" "MGS.igc0624" 0.339354838709677 0.00620142837834991 "Matsuda" "Clostridiales sp." "Positive" "MGS.igc0624:Clostridiales sp."
"Matsuda.lm.12" "MGS.igc0660" 0.36 0.022307045109268 "Matsuda" "Clostridiales sp." "Positive" "MGS.igc0660:Clostridiales sp."
